id,titulo,precio,link,imagen,método,capacidad,ram,color,timestamp
Samsung_Ga_12GB_512GB,Samsung Galaxy S24 Ultra 5G Dual SIM 512 GB titanium gray 12 GB RAM,$6.999.900,https://www.mercadolibre.com.co/samsung-galaxy-s24-ultra-5g-dual-sim-512-gb-titanium-gray-12-gb-ram/p/MCO29893931#polycard_client=search-nordic&searchVariation=MCO29893931&position=4&search_layout=stack&type=product&tracking_id=dabc737d-cb5e-42cf-be8d-22a62f110fcb&wid=MCO1452157273&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_937455-MLA74439150067_022024-V.webp,BeautifulSoup,512GB,12GB,Gris,2025-06-15T00:35:56.812167
Samsung_Ga_12GB_512GB,Samsung Galaxy S24 Ultra 5G Dual SIM 512 GB titanium violet 12 GB RAM,$4.095.900,https://www.mercadolibre.com.co/samsung-galaxy-s24-ultra-5g-dual-sim-512-gb-titanium-violet-12-gb-ram/p/MCO29893911#polycard_client=search-nordic&searchVariation=MCO29893911&position=7&search_layout=stack&type=product&tracking_id=dabc737d-cb5e-42cf-be8d-22a62f110fcb&wid=MCO2887633424&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_876756-MLA74196675597_012024-V.webp,BeautifulSoup,512GB,12GB,Violeta,2025-06-15T00:35:56.812448
Samsung_Ga_12GB_256GB,Samsung Galaxy S24 Ultra 5G Dual SIM 256 GB titanium black 12 GB RAM,$5.422.500,https://www.mercadolibre.com.co/samsung-galaxy-s24-ultra-5g-dual-sim-256-gb-titanium-black-12-gb-ram/p/MCO31493325#polycard_client=search-nordic&searchVariation=MCO31493325&position=6&search_layout=stack&type=product&tracking_id=dabc737d-cb5e-42cf-be8d-22a62f110fcb&wid=MCO2893146594&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_731135-MLA79227832577_092024-V.webp,BeautifulSoup,256GB,12GB,Negro,2025-06-15T00:35:56.812741
Samsung_Ga_8GB_256GB,Samsung Galaxy S24 Ultra 5G Dual SIM 256 GB titanium gray 8 GB RAM,$6.589.000,https://www.mercadolibre.com.co/samsung-galaxy-s24-ultra-5g-dual-sim-256-gb-titanium-gray-8-gb-ram/p/MCO29893924#polycard_client=search-nordic&searchVariation=MCO29893924&position=10&search_layout=stack&type=product&tracking_id=dabc737d-cb5e-42cf-be8d-22a62f110fcb&wid=MCO1452118841&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_937455-MLA74439150067_022024-V.webp,BeautifulSoup,256GB,8GB,Gris,2025-06-15T00:35:56.813018
Celular_Sa_N/A_256GB,Celular Samsung Galaxy S24 Ultra 5g 256gb Lavanda,$6.899.920,https://articulo.mercadolibre.com.co/MCO-1382435825-celular-samsung-galaxy-s24-ultra-5g-256gb-lavanda-_JM?searchVariation=179710940278#polycard_client=search-nordic&searchVariation=179710940278&position=7&search_layout=stack&type=item&tracking_id=dabc737d-cb5e-42cf-be8d-22a62f110fcb,https://http2.mlstatic.com/D_Q_NP_2X_885634-MCO74062358181_012024-V.webp,BeautifulSoup,256GB,,Lavanda,2025-06-15T00:35:56.813277
Samsung_Ga_N/A_256GB,Samsung Galaxy S24 Ultra Titanium Violet 256 Gb Grado A,$3.489.000,https://articulo.mercadolibre.com.co/MCO-2890387536-samsung-galaxy-s24-ultra-titanium-violet-256-gb-grado-a-_JM?searchVariation=183850943012#polycard_client=search-nordic&searchVariation=183850943012&position=8&search_layout=stack&type=item&tracking_id=dabc737d-cb5e-42cf-be8d-22a62f110fcb,https://http2.mlstatic.com/D_Q_NP_2X_892260-MCO85852037253_062025-V.webp,BeautifulSoup,256GB,,Violeta,2025-06-15T00:35:56.813510
Samsung_Ga_N/A_256GB,Samsung Galaxy S24 Ultra 5g Dual Sim 256 Gb Titanium Black,$3.719.900,https://articulo.mercadolibre.com.co/MCO-2899810268-samsung-galaxy-s24-ultra-5g-dual-sim-256-gb-titanium-black-_JM?searchVariation=188397667183#polycard_client=search-nordic&searchVariation=188397667183&position=9&search_layout=stack&type=item&tracking_id=dabc737d-cb5e-42cf-be8d-22a62f110fcb,https://http2.mlstatic.com/D_Q_NP_2X_810853-MCO86093566053_062025-V.webp,BeautifulSoup,256GB,,Negro,2025-06-15T00:35:56.813737
Samsung_Ga_12GB_1TB,Samsung Galaxy S24 Ultra S928b Dual Sim 12gb Ram 1tb 5g Cáma,$8.539.560,https://articulo.mercadolibre.com.co/MCO-2889166348-samsung-galaxy-s24-ultra-s928b-dual-sim-12gb-ram-1tb-5g-cama-_JM?searchVariation=183834611920#polycard_client=search-nordic&searchVariation=183834611920&position=10&search_layout=stack&type=item&tracking_id=dabc737d-cb5e-42cf-be8d-22a62f110fcb,https://http2.mlstatic.com/D_Q_NP_2X_934362-MCO85450169724_062025-V.webp,BeautifulSoup,1TB,12GB,,2025-06-15T00:35:56.813973
Samsung_Ga_12GB_256GB,Samsung Galaxy S24 Ultra S928b Dual Sim 12gb Ram 256gb 5g Cá,$4.829.760,https://articulo.mercadolibre.com.co/MCO-1597155777-samsung-galaxy-s24-ultra-s928b-dual-sim-12gb-ram-256gb-5g-ca-_JM?searchVariation=183834687420#polycard_client=search-nordic&searchVariation=183834687420&position=11&search_layout=stack&type=item&tracking_id=dabc737d-cb5e-42cf-be8d-22a62f110fcb,https://http2.mlstatic.com/D_Q_NP_2X_759353-MCO85450169856_062025-V.webp,BeautifulSoup,256GB,12GB,,2025-06-15T00:35:56.814232
Samsung_Ga_12GB_N/A,Samsung Galaxy S24 Ultra S928b Smartphone Doble Sim 12gb Ram,$4.829.760,https://articulo.mercadolibre.com.co/MCO-1597155779-samsung-galaxy-s24-ultra-s928b-smartphone-doble-sim-12gb-ram-_JM?searchVariation=183834687524#polycard_client=search-nordic&searchVariation=183834687524&position=12&search_layout=stack&type=item&tracking_id=dabc737d-cb5e-42cf-be8d-22a62f110fcb,https://http2.mlstatic.com/D_Q_NP_2X_839114-MCO85450164338_062025-V.webp,BeautifulSoup,,12GB,,2025-06-15T00:35:56.814457
